Sensor,R2
xmeas_18,0.9956187009811401
xmv_9,0.9943461418151855
xmv_3,0.9790646433830261
xmeas_1,0.9789959192276001
xmeas_7,0.9777157306671143
xmeas_19,0.9761728048324585
xmeas_16,0.9761716723442078
xmeas_13,0.9713194370269775
xmeas_20,0.96161288022995
xmeas_10,0.9433286786079407
xmv_6,0.9428715705871582
xmeas_38,0.8787077069282532
xmeas_11,0.8234666585922241
xmv_5,0.7902662754058838
xmeas_21,0.7661851048469543
xmv_1,0.6637527942657471
xmeas_2,0.6634513139724731
xmv_2,0.6322728395462036
xmeas_40,0.6146315336227417
xmeas_41,0.613782525062561
xmeas_39,0.6095873713493347
xmeas_3,0.6085360050201416
xmeas_31,0.5985103845596313
xmeas_37,0.5973562002182007
xmeas_27,0.5735403299331665
xmeas_23,0.5599367618560791
xmeas_30,0.537010133266449
xmeas_29,0.48860567808151245
xmeas_33,0.4656282663345337
xmeas_35,0.4517287015914917
xmeas_26,0.44260650873184204
xmeas_25,0.39511770009994507
xmeas_9,0.3571535348892212
xmeas_22,0.34924983978271484
xmv_10,0.33996832370758057
xmeas_4,0.26378560066223145
xmeas_36,0.2290310263633728
xmeas_34,0.13656765222549438
xmeas_24,0.08358216285705566
xmeas_28,0.05546736717224121
xmeas_8,0.04733330011367798
xmeas_32,0.044669151306152344
xmv_4,0.022951185703277588
xmeas_6,0.0030115246772766113
xmeas_17,-0.006301164627075195
xmv_11,-0.006848692893981934
xmeas_14,-0.03464305400848389
xmeas_15,-0.03595602512359619
xmv_8,-0.03617703914642334
xmeas_5,-0.06169629096984863
xmv_7,-0.17234885692596436
xmeas_12,-0.17255425453186035
