Sensor,R2
xmeas_18,0.9975177049636841
xmv_9,0.9974255561828613
xmv_3,0.997186541557312
xmeas_1,0.9971807599067688
xmeas_19,0.9880377054214478
xmeas_16,0.9836036562919617
xmeas_7,0.9825682044029236
xmeas_20,0.9784688353538513
xmv_6,0.9776785373687744
xmeas_10,0.9776724576950073
xmeas_13,0.977365255355835
xmeas_38,0.8952344655990601
xmv_5,0.8627540469169617
xmeas_11,0.8596941232681274
xmeas_21,0.8472734689712524
xmeas_31,0.7977713346481323
xmeas_40,0.7774167060852051
xmeas_41,0.7752320766448975
xmeas_39,0.7732795476913452
xmeas_37,0.7713786363601685
xmeas_29,0.7398606538772583
xmeas_33,0.729241132736206
xmeas_35,0.7203922867774963
xmeas_25,0.6961104869842529
xmv_1,0.6923367977142334
xmeas_2,0.690981388092041
xmeas_3,0.6599551439285278
xmv_2,0.6578868627548218
xmeas_27,0.644362211227417
xmeas_23,0.6423048973083496
xmeas_30,0.5752642154693604
xmeas_26,0.5672992467880249
xmeas_36,0.5612591505050659
xmeas_34,0.561181902885437
xmeas_24,0.5389113426208496
xmeas_28,0.5250551700592041
xmeas_32,0.5176287293434143
xmeas_9,0.4587855935096741
xmv_10,0.45257431268692017
xmeas_22,0.39791518449783325
xmeas_4,0.303244948387146
xmeas_8,0.15821003913879395
xmv_4,0.062300682067871094
xmeas_6,0.04309600591659546
xmeas_17,0.020180463790893555
xmv_11,0.01975417137145996
xmeas_14,0.011317193508148193
xmeas_15,0.005851149559020996
xmv_8,0.005850315093994141
xmv_7,0.0022783875465393066
xmeas_12,0.0022769570350646973
xmeas_5,-0.0003120899200439453
