Sensor,R2
xmeas_18,0.9947419762611389
xmv_9,0.9939876198768616
xmv_3,0.9771822690963745
xmeas_1,0.9771560430526733
xmeas_19,0.9755948781967163
xmeas_7,0.9719128608703613
xmeas_16,0.9718132615089417
xmeas_13,0.9645988345146179
xmeas_20,0.9599013328552246
xmv_6,0.9213231205940247
xmeas_10,0.9212754964828491
xmeas_38,0.876753032207489
xmeas_21,0.7939947843551636
xmeas_11,0.777253270149231
xmv_5,0.7725812792778015
xmeas_40,0.6138684749603271
xmeas_41,0.6134739518165588
xmeas_39,0.6085312366485596
xmeas_37,0.597020149230957
xmeas_31,0.5966262817382812
xmeas_27,0.5412507653236389
xmeas_23,0.526187539100647
xmeas_29,0.47910362482070923
xmeas_30,0.4684740900993347
xmeas_33,0.4587779641151428
xmeas_26,0.4235175848007202
xmeas_25,0.39360475540161133
xmv_1,0.38111603260040283
xmeas_35,0.35999536514282227
xmeas_2,0.3460546135902405
xmeas_22,0.32503485679626465
xmeas_3,0.2933071255683899
xmv_2,0.290979266166687
xmeas_9,0.25769972801208496
xmv_10,0.24706542491912842
xmeas_34,0.12654829025268555
xmeas_36,0.09291338920593262
xmeas_24,0.08003038167953491
xmeas_28,0.054534196853637695
xmeas_32,0.03486853837966919
xmeas_6,-0.023726344108581543
xmeas_17,-0.03982388973236084
xmv_11,-0.04024827480316162
xmeas_4,-0.04048657417297363
xmv_7,-0.04855310916900635
xmeas_12,-0.04869270324707031
xmv_8,-0.049708008766174316
xmeas_15,-0.04980576038360596
xmeas_14,-0.06514167785644531
xmv_4,-0.16290819644927979
xmeas_5,-0.27797698974609375
xmeas_8,-0.6652982234954834
